Logged GDP per capita,Healthy life expectancy,Freedom to make life choices,Ladder score
10.775,72,0.949,7.842
10.933,72.7,0.946,7.62
11.117,74.4,0.919,7.571
10.932,72.4,0.913,7.464
11.053,73.3,0.96,7.392
10.867,72.7,0.945,7.363
10.643,73.4,0.929,7.277
10.906,73.3,0.908,7.268
10.796,73.9,0.914,7.183
10.575,73.503,0.8,7.157
10.873,72.5,0.875,7.155
10.776,73.8,0.915,7.103
11.342,72.4,0.879,7.085
10.707,72.5,0.859,7.064
10.556,70.807,0.858,6.965
11.023,68.2,0.837,6.951
10.823,72.199,0.783,6.834
10.704,74,0.822,6.69
10.669,69.495,0.925,6.647
10.871,69.6,0.784,6.584
11.085,67.333,0.932,6.561
10.743,66.603,0.877,6.494
10.571,74.7,0.761,6.491
10.623,73.8,0.693,6.483
10.529,71.4,0.949,6.461
9.966,69.1,0.896,6.431
11.488,76.953,0.927,6.377
10.369,69.201,0.766,6.331
9.577,66.601,0.804,6.33
9.859,68.597,0.862,6.317
9.186,67.5,0.89,6.309
10.576,73.898,0.763,6.223
8.836,65.255,0.97,6.179
10.071,70,0.742,6.172
10.382,69.702,0.841,6.166
10.155,65.2,0.853,6.152
10.284,67.355,0.845,6.14
10.817,66.9,0.867,6.106
9.787,68.6,0.778,6.078
9.557,68.001,0.837,6.012
10.358,68,0.755,5.992
9.805,67.401,0.884,5.985
10.611,75.1,0.796,5.94
9.962,69,0.828,5.929
10.421,72.6,0.892,5.929
10.217,70.799,0.754,5.882
9.076,62,0.917,5.88
10.651,73.9,0.672,5.845
9.458,68.25,0.822,5.84
9.59,68.098,0.706,5.813
9.454,65.699,0.822,5.766
9.313,68.8,0.842,5.764
8.538,64.401,0.935,5.744
10.279,72.6,0.582,5.723
9.046,63.901,0.875,5.716
9.4,62.5,0.708,5.677
9.448,65.9,0.876,5.653
9.853,66.253,0.65,5.534
10.189,64.703,0.718,5.477
11,76.82,0.717,5.477
8.091,64.281,0.832,5.466
8.973,68.034,0.94,5.411
9.622,62.3,0.771,5.41
10.238,67.102,0.895,5.384
9.365,62.236,0.873,5.345
8.117,58.221,0.695,5.342
9.673,69.593,0.904,5.339
8.551,50.114,0.741,5.306
9.487,67.055,0.825,5.283
8.12,64.233,0.782,5.269
10.016,67,0.788,5.266
9.569,65.656,0.814,5.171
8.189,53.515,0.731,5.142
8.118,59.802,0.695,5.132
9.52,68.999,0.785,5.117
8.58,57.586,0.807,5.088
7.098,53.78,0.806,5.074
9.629,62.409,0.877,5.066
7.686,55.16,0.697,5.051
8.087,54.713,0.757,5.045
8.947,58.968,0.91,5.03
8.454,64.8,0.877,5.025
9.403,56.904,0.749,4.956
10.24,67.199,0.576,4.948
8.458,58.709,0.726,4.934
8.903,66.208,0.774,4.918
9.073,66.7,0.615,4.892
9.585,64.3,0.783,4.891
9.342,66.005,0.48,4.887
9.436,64.902,0.724,4.875
9.24,60.583,0.63,4.854
9.603,59.962,0.731,4.852
7.678,54.151,0.695,4.834
8.36,62,0.959,4.83
7.158,54.706,0.882,4.794
8.533,50.102,0.737,4.759
7.744,51.969,0.697,4.723
9.584,66.3,0.608,4.721
7.677,56.101,0.709,4.636
7.288,56.498,0.735,4.625
8.361,60.704,0.779,4.607
9.266,67.201,0.656,4.596
9.626,67.355,0.525,4.584
9.161,56.799,0.719,4.574
8.485,62.25,0.653,4.517
8.541,59.302,0.876,4.426
9.182,67,0.755,4.395
7.364,48.478,0.579,4.355
9.47,67.299,0.841,4.325
9.065,50.833,0.647,4.308
9.367,61.998,0.749,4.283
7.694,59,0.752,4.275
8.542,57.161,0.561,4.227
7.362,54.914,0.619,4.107
8.145,55.809,0.782,4.073
7.434,51.651,0.717,3.849
8.755,60.633,0.893,3.819
7.578,57.122,0.602,3.658
7.876,57.999,0.833,3.623
6.958,57.948,0.78,3.6
9.782,59.269,0.824,3.467
7.676,61.4,0.897,3.415
7.943,56.201,0.677,3.145
7.695,52.493,0.382,2.523
